"name","b","n","ib_chi2p","ib_emd","ib_chi2s","ib_h","ib_kl","oob_chi2p","oob_emd","oob_chi2s","oob_h","oob_kl"
"uniform",1,100,129.04749753934502,0.55373167713779,0.6626685664304801,0.30861316334260913,0.3718913431932355,0.9265501171643862,0.5688516181411554,0.6677862066174513,0.3091228327320934,0.3664246546975351
"ftrain uniform",1,100,2.5000052377722305e6,1.6977800000000018,0.8979886559405131,0.3852671364626073,1.5104912885253088,28.49415721253401,1.7191571850918266,0.9090774605241065,0.385038331408994,0.947770769307073
"redistricting",1,100,129.04749753934502,0.55373167713779,0.6626685664304801,0.30861316334260913,0.3718913431932355,0.9265501171643862,0.5688516181411554,0.6677862066174513,0.3091228327320934,0.3664246546975351
"ftrain redistricting",1,100,2.5000052377722305e6,1.6977800000000018,0.8979886559405131,0.3852671364626073,1.5104912885253088,28.49415721253401,1.7191571850918266,0.9090774605241065,0.385038331408994,0.947770769307073
"uniform",1,199,64.62218456925937,0.3677201836731931,0.39236790475882793,0.23302709361622614,0.2065868363962217,0.42145077352810567,0.38465494005181783,0.3876383607571969,0.23095923073688168,0.1982495298722731
"ftrain uniform",1,199,1.2373492777346086e6,1.5748030467336975,0.7793909074810784,0.35745227625166826,1.2006759888531395,16.756735933073035,1.5978075398243876,0.7874916598589538,0.3561839132735007,0.7954559448820531
"redistricting",1,199,64.62218456925937,0.3677201836731931,0.39236790475882793,0.23302709361622614,0.2065868363962217,0.42145077352810567,0.38465494005181783,0.3876383607571969,0.23095923073688168,0.1982495298722731
"ftrain redistricting",1,199,1.2373492777346086e6,1.5748030467336975,0.7793909074810784,0.35745227625166826,1.2006759888531395,16.756735933073035,1.5978075398243876,0.7874916598589538,0.3561839132735007,0.7954559448820531
"uniform",1,398,14.955156029715955,0.2565137161285816,0.2589943771528505,0.18540021709258794,0.12772233010462794,0.2264929902588063,0.2706424614776116,0.25440445996424454,0.18348411641508489,0.12360324551864507
"ftrain uniform",1,398,1.616127896945591e6,1.6652549753770065,0.8626955595997672,0.3785357176054211,1.3786648696860324,22.97966123508286,1.6882594684676961,0.87068313991318,0.37770808367613745,0.9217736797044928
"uniform",1,794,34.30410137999064,0.2046094469469407,0.19450319928845056,0.16010436855550222,0.09545973872002653,0.1629960651048873,0.22443151100657924,0.18970698950320342,0.1579314081343683,0.09117408304504256
"ftrain uniform",1,794,1.7273820548315712e6,1.5661455999999996,0.7862838626830194,0.36121177465807675,1.3322870446028245,22.88759227520347,1.585307699987939,0.7936157351748291,0.3600884057851065,0.8569071964336059
"uniform",1,1583,23.814301663362134,0.17747577948735221,0.1619032856153131,0.14561736909082232,0.07937152439407391,0.13412063346406664,0.18519796657048254,0.15564685617109839,0.14268755788923845,0.07478731427261315
"ftrain uniform",1,1583,2.1852630810670014e6,1.6779455999999995,0.8056443237666223,0.3693606558663882,1.4700052622317576,28.994516105100992,1.6987350079868029,0.8119170586093569,0.36798721694955683,0.9348979393383885
"uniform",1,3158,8.08305118068444,0.17259817769670743,0.14860634804581843,0.1391007476439023,0.07226759824270133,0.1225043751742042,0.16946411345834045,0.14172938895047907,0.1358277350319427,0.06809638708049702
"ftrain uniform",1,3158,2.0792308675630032e6,1.663736437840356,0.7683518465762066,0.36058263807096197,1.4108180315078827,27.066370124709703,1.686740930931046,0.7745530747889524,0.359368752458747,0.8911014328869136
"uniform",1,6300,3.483233310169484,0.16221053192087284,0.13270124684600654,0.13100459164196251,0.06460915720967994,0.11095529103345937,0.1599783830876511,0.12581389832572618,0.1275775267291187,0.060744314291898846
"ftrain uniform",1,6300,1.9054006834253834e6,1.7005523341587672,0.8011942058934921,0.3673052445136926,1.4120224731391886,26.115676567522,1.723556827249457,0.8087664278568275,0.36646663497157433,0.9160570611640961
"uniform",1,12566,1.2578398556978745,0.15903100525334088,0.12215724232213844,0.12538797744065955,0.059465931026562065,0.10251638170556653,0.15488620293650357,0.11505725470782463,0.12172641567810615,0.055679010174355274
