"name","method","fixweighting","b","k","ib_chi2p","ib_emd","ib_chi2s","ib_h","ib_kl","oob_chi2p","oob_emd","oob_chi2s","oob_h","oob_kl"
"original {\\sc Dsea}","none",false,1,0,120.83221694965134,1.697326666666665,0.8151546216572461,0.36920496141991016,0.9994440068008792,23.11030262897837,1.6957739500702673,0.805904320821263,0.36609420654226454,0.9121525531032257
"original {\\sc Dsea}","none",false,1,1,0.08249363018708866,0.20943777979982642,0.04540731102026221,0.076711846379242,0.02625670056497689,0.0642597053167224,0.2072811043249577,0.0431771799920304,0.07464279285542084,0.02448830455129562
"original {\\sc Dsea}","none",false,1,2,0.007555373091363541,0.05770151196553405,0.006409215721059414,0.02843192012764414,0.003367743012390423,0.008249579993394672,0.05716217068619607,0.007426937160240447,0.030548504428641644,0.003846857649797955
"original {\\sc Dsea}","none",false,1,3,0.0038948369384365516,0.034044268244087114,0.0037021484660844936,0.02154205156104008,0.0018806107426729427,0.006265097302864362,0.04201090569435261,0.00613958132294264,0.02772466510348156,0.0030906994413436324
"original {\\sc Dsea}","none",false,1,4,0.004650633947879156,0.040136051824732594,0.004591175415567611,0.02397412869351875,0.0023046646948371727,0.007762116582442044,0.04847085268985568,0.007784911863839958,0.031221160077286578,0.003889096734779182
"original {\\sc Dsea}","none",false,1,5,0.0059015642600096325,0.044063851461709956,0.005893487558194974,0.027161356708749505,0.002947603253540258,0.009480830480969243,0.05506919943984667,0.009577548898179557,0.03463391246513554,0.004773317696077138
"original {\\sc Dsea}","none",false,1,6,0.007259276992198818,0.047494730116135815,0.007288184696316203,0.030206597564264536,0.003638907682392945,0.011190817216009495,0.059614619304361696,0.011342394738095306,0.037693486242528766,0.005646728672157598
"original {\\sc Dsea}","none",false,1,7,0.008691516352845024,0.05094816513711847,0.008756579476544428,0.03311298032794544,0.004367147714301971,0.012917735048499862,0.06305834809574266,0.013120066479939702,0.04054334660068892,0.006527210863546026
"original {\\sc Dsea}","none",false,1,8,0.010193999299976544,0.0538611297914194,0.010297623055740331,0.035912402496805045,0.005131305388960138,0.014681873903268479,0.06620367683834838,0.014935435052467385,0.04326138563791037,0.007426464737460071
"original {\\sc Dsea}","none",false,1,9,0.01176167393617034,0.05646469797077385,0.011906758084936957,0.03862080664173391,0.005929034351868527,0.016490528218235052,0.06943210499886145,0.016797060634379975,0.04588289560918931,0.008348570568844735
"original {\\sc Dsea}","none",false,1,10,0.013385891713202435,0.0588507310580182,0.013575115293319038,0.04124270587129819,0.006755942083074338,0.018341113691773558,0.07241437071190644,0.018702650369841377,0.04842065619311084,0.009292338148206299
"original {\\sc Dsea}","none",false,1,11,0.015059251214080685,0.06146586199208557,0.015294897048169488,0.043782512657525086,0.00760819827355824,0.02023008066423789,0.07523344698544628,0.020648612007233152,0.050882807634131964,0.010255981440957171
"original {\\sc Dsea}","none",false,1,12,0.016774290053345266,0.06404023901208128,0.01705830627068894,0.0462431992614814,0.008481961818430002,0.022152280651535364,0.07842004852768493,0.022629715000821338,0.05327369530989048,0.011236901292856826
"original {\\sc Dsea}","none",false,1,13,0.018524342899287456,0.06706413148425519,0.01885836234352131,0.048627778944701903,0.009373796380696305,0.02410252715323894,0.08146690557567422,0.02464070204485291,0.05559659547575991,0.012232483186848945
"original {\\sc Dsea}","none",false,1,14,0.02030358242207704,0.07045309389352197,0.020689065654260732,0.050939550338844904,0.01028073243497667,0.02607614228171699,0.08438594463806051,0.026676888955400904,0.057854626836986014,0.013240388285163544
"original {\\sc Dsea}","none",false,1,15,0.022108338869675732,0.07371168473580146,0.022546536590746503,0.05318342590815848,0.011200866828138829,0.028070472525479513,0.08718946545809288,0.028735477397987874,0.06005219094723679,0.014259243448666697
"original {\\sc Dsea}","none",false,1,16,0.023933068152045097,0.07684697251820229,0.024425130482132577,0.05536125448606163,0.012131395552758982,0.030080349908442834,0.08988437534529156,0.030811303246323536,0.06219048650188858,0.015286467452175087
"original {\\sc Dsea}","none",false,1,17,0.02577442828012068,0.07986864385443741,0.026321403572356402,0.05747677211987885,0.013070615374223356,0.03210305220151171,0.09248023346483739,0.03290155568517261,0.06427268355989893,0.016320670862507977
"original {\\sc Dsea}","none",false,1,18,0.027629308243561152,0.08278191305628659,0.028232223852471077,0.05953331003352718,0.014016965592663602,0.03413599485475754,0.0953678138283514,0.03500359916528245,0.06630157277780048,0.01736054552562856
"original {\\sc Dsea}","none",false,1,19,0.029494336284810026,0.0855967198560793,0.03015421890782074,0.0615333316146605,0.014968761738087564,0.036175893550297815,0.09818105254734565,0.03711419078283563,0.06827892077392791,0.01840446394622485
"original {\\sc Dsea}","none",false,1,20,0.03136675542136872,0.08831655468183669,0.032084643803274006,0.06347945034869477,0.01592463083397739,0.03822048669679099,0.10089939957903943,0.03923099657853275,0.07020698851930739,0.019451271689258743
"no smoothing","none",true,1,0,120.83221694965134,1.697326666666665,0.8151546216572461,0.36920496141991016,0.9994440068008792,23.11030262897837,1.6957739500702673,0.805904320821263,0.36609420654226454,0.9121525531032257
