"name","dataset","f_train","b","k","ib_chi2p","ib_emd","ib_chi2s","ib_h","ib_kl","oob_chi2p","oob_emd","oob_chi2s","oob_h","oob_kl"
"original {\\sc Dsea}","gaussian","appropriate",1,0,123.17075095646376,1.7235666666666654,0.8099337459395634,0.3688951919346509,1.0131933084459281,2.26758344692697e6,1.6947944740370497,0.8094246298631137,0.37116813135704513,1.4951515806821072
"original {\\sc Dsea}","gaussian","appropriate",1,1,0.0013078188835980405,0.0183777407027765,0.001127035568936664,0.012126292990728267,0.0005949962375289402,0.0015297340835481628,0.07113792329841244,0.0013487459426957751,0.013028669771314337,0.0007036321960128514
"original {\\sc Dsea}","gaussian","appropriate",1,2,0.03371598292991831,0.1784914483375141,0.039579388114289855,0.07128685324026791,0.018901205559659493,0.03305887337595968,0.18423935002620925,0.0384964805203736,0.06997756823397393,0.01838694120288784
"original {\\sc Dsea}","gaussian","appropriate",1,3,0.05965951515221545,0.23479546041706853,0.07352868132066666,0.09826620535931577,0.03479653465731871,0.05875253783610099,0.2388235467147049,0.07225962313096426,0.09692787344359817,0.034125496492517206
"original {\\sc Dsea}","gaussian","appropriate",1,4,0.07343963436088459,0.2560987259903195,0.09298550689797382,0.11139669447094143,0.04383882770666918,0.07232314773191227,0.25880591311260404,0.09161255340323698,0.11006375979093856,0.04308147780902928
"original {\\sc Dsea}","gaussian","appropriate",1,5,0.08130920424125433,0.26491629078336054,0.10484966018326737,0.11905048066921119,0.049340869212765016,0.08000844302663661,0.2661703636052266,0.10338239047614181,0.11773527541033448,0.048521746793944005
"original {\\sc Dsea}","gaussian","appropriate",1,6,0.08642908513315345,0.2688240350211948,0.11295355453480319,0.12426363616744444,0.053116152461993346,0.08496011899450247,0.26844504533315156,0.11139583426877411,0.12297019515723967,0.05224590358176483
"original {\\sc Dsea}","gaussian","appropriate",1,7,0.0902294235923636,0.27068705715305835,0.11911385627225236,0.128277120102998,0.05601748047689022,0.08860297903655454,0.26857625391932377,0.11746604784530397,0.12700473433457873,0.05510049387511986
"original {\\sc Dsea}","gaussian","appropriate",1,8,0.09336616739279949,0.2716739136336784,0.12419805825147724,0.13164233560716612,0.05844792760508262,0.09159001385417187,0.26781252881075107,0.12245860508149166,0.13038808640016594,0.05748569696485936
"original {\\sc Dsea}","gaussian","appropriate",1,9,0.09614679157308198,0.272278636583099,0.12863201514103423,0.13461839226282724,0.06060216507374465,0.09422734177191133,0.26829382558410386,0.1267992204832306,0.13337880102982955,0.059595117736922464
"original {\\sc Dsea}","gaussian","appropriate",1,10,0.09872241786111349,0.27272528710595545,0.13263701004119205,0.13733522052951014,0.06257893922723534,0.09666532975927912,0.2687404761084073,0.13070984760901988,0.13610700371211884,0.06152722653522863
"original {\\sc Dsea}","gaussian","appropriate",1,11,0.10116738745102766,0.27310899032303776,0.13633143508439452,0.1398602063241964,0.06442906733309021,0.09897765042821244,0.26943546644933,0.1343096249545531,0.1386404477091567,0.06333279955532173
"original {\\sc Dsea}","gaussian","appropriate",1,12,0.10352070276592815,0.27347332217097153,0.13978478706621997,0.14223173479000828,0.06618094374146101,0.10120311067914703,0.2708979482738232,0.13766902538272607,0.1410180676898582,0.06504044721866861
"original {\\sc Dsea}","gaussian","appropriate",1,13,0.10580477345873449,0.2738391788734116,0.14304162450714294,0.1444736164939648,0.06785187258757018,0.10336351852049583,0.27225273413620205,0.14083308481739823,0.14326401637221742,0.06666751017350275
"original {\\sc Dsea}","gaussian","appropriate",1,14,0.10803138569550853,0.27421208531681446,0.14613141269737517,0.14660133062250127,0.0694524882136084,0.10547048148562876,0.27352795511065725,0.14383185653828434,0.14539416385569126,0.06822479750305058
"original {\\sc Dsea}","gaussian","appropriate",1,15,0.11020772493289137,0.27459135124746,0.14907579293078677,0.14862610458155495,0.07099022821696035,0.10753086484911527,0.2747372095336169,0.1466872927453849,0.14742000034161723,0.06971982432994986
"original {\\sc Dsea}","gaussian","appropriate",1,16,0.1123401218497886,0.2749798934494107,0.15189344438178845,0.15055755597007364,0.0724716235520359,0.10955072877698364,0.27589526464282366,0.14941828627699807,0.14935137358145797,0.07115918813398325
"original {\\sc Dsea}","gaussian","appropriate",1,17,0.11443067979571057,0.27537213151166584,0.1545969133696984,0.15240228635154793,0.07390059765346922,0.11153192859920853,0.2770052144586744,0.15203748582724633,0.15119503876138463,0.07254684930785828
"original {\\sc Dsea}","gaussian","appropriate",1,18,0.11648382478329683,0.2757683836353354,0.15719994163848863,0.15416747542439466,0.0752820833566722,0.1134786305257459,0.2780747965063974,0.15455866326218526,0.1529583194447723,0.0738877577337568
"original {\\sc Dsea}","gaussian","appropriate",1,19,0.11850124779337,0.27616670397481585,0.15971244102594143,0.15585853971862415,0.07661941044105938,0.11539235501884254,0.279108471610946,0.15699174494843476,0.15464675508082382,0.07518527030385783
"original {\\sc Dsea}","gaussian","appropriate",1,20,0.12048510550661645,0.2765654882933816,0.16214347449299185,0.1574804941336943,0.07791582968313253,0.11727505696852417,0.28010741530169986,0.1593457539370802,0.15626545675095674,0.0764426409942476
"re-weighting fix","gaussian","appropriate",1,0,123.17075095646376,1.7235666666666654,0.8099337459395634,0.3688951919346509,1.0131933084459281,2.26758344692697e6,1.6947944740370497,0.8094246298631137,0.37116813135704513,1.4951515806821072
"re-weighting fix","gaussian","appropriate",1,1,0.09317605890443884,0.2320976469583115,0.0545188558046644,0.0843732509246261,0.03202427641507665,0.1466118730222177,0.24178495433646582,0.05663116379953639,0.08654145971353883,0.03444856954340302
"re-weighting fix","gaussian","appropriate",1,2,0.010888044905318492,0.08123978860036703,0.008868490005216084,0.033586643154121396,0.0047456630130933005,0.013583294377410543,0.10081291644138776,0.010070160893064553,0.035872032430697635,0.005576945755264202
"re-weighting fix","gaussian","appropriate",1,3,0.0028972956656904874,0.03815941459332908,0.0025687263098051866,0.018119424512816694,0.0013397402600068744,0.0038983686890302783,0.07835276147245747,0.003201643488493031,0.020117810767888853,0.0017130407921058584
"re-weighting fix","gaussian","appropriate",1,4,0.0015914661613961084,0.02666190894607791,0.0014570063408912964,0.013715329841983464,0.0007532589817941088,0.0020491846800970164,0.077120601995317,0.0017922600871458033,0.01501469169359355,0.0009380750396326982
"re-weighting fix","gaussian","appropriate",1,5,0.0013678311664088616,0.023624843211326726,0.0012684003858665217,0.012820582860641022,0.0006533218303010559,0.0015722292358075242,0.07673068425436176,0.0014273098726674627,0.013384500189290374,0.0007373978153125563
"re-weighting fix","gaussian","appropriate",1,6,0.0013965200424458208,0.02424690619665625,0.0012985711978173893,0.012970173321926333,0.0006680641105668421,0.001442762679161783,0.07661575591450538,0.001331792105360083,0.012924513273320743,0.000684042690058735
"re-weighting fix","gaussian","appropriate",1,7,0.001508000670998191,0.02487570437302798,0.001399799919992936,0.013456589826079755,0.0007201590800112068,0.001434038232693999,0.07658617539342699,0.0013292674944509998,0.012912667714144859,0.0006816848122463616
"re-weighting fix","gaussian","appropriate",1,8,0.0016547370772452238,0.025286907171490007,0.001531432303041803,0.01406427512952853,0.0007881814310138477,0.0014794770237601062,0.076581842522808,0.0013680131071313773,0.013102212956616299,0.0007020470557297671
"re-weighting fix","gaussian","appropriate",1,9,0.0018182264198516366,0.02556840867741366,0.001678204989310459,0.014712836905123474,0.0008639875042373816,0.0015536634120822959,0.07657756407824202,0.0014286223342784804,0.013393037110623065,0.0007344465400961482
"re-weighting fix","gaussian","appropriate",1,10,0.001989313415252257,0.025773555438532336,0.0018327357254571978,0.01536669127340005,0.0009436123623151144,0.001644531674006033,0.07656842825253864,0.0015021045202742245,0.01373718984186481,0.0007738881899017674
"re-weighting fix","gaussian","appropriate",1,11,0.0021629592452531445,0.025940489183096004,0.001990936477744545,0.016008981727957207,0.001024870859337901,0.0017458052741669407,0.07656609274074268,0.0015839820774663886,0.014110552966822771,0.0008178426148039697
"re-weighting fix","gaussian","appropriate",1,12,0.0023361792390189833,0.026079066604930867,0.0021502881558536214,0.016631423884484967,0.0011064392316040388,0.0018534929391339338,0.07656213064220585,0.0016713851973342562,0.014498262004498863,0.000864695002951355
"re-weighting fix","gaussian","appropriate",1,13,0.0025072426076468454,0.026199564441945572,0.0023092465334624258,0.017230462708303255,0.0011875243069436137,0.001965188177255437,0.0765586235550897,0.0017626312461874276,0.014891990458443891,0.0009134887519177694
"re-weighting fix","gaussian","appropriate",1,14,0.002675251960781986,0.026307979197483008,0.0024669300255643224,0.017805296219843534,0.0012676898919564414,0.0020793807274972426,0.07655437276277509,0.0018566698169100305,0.015286895716071483,0.0009636260385236913
"re-weighting fix","gaussian","appropriate",1,15,0.0028396486052922887,0.02640372456036682,0.00262271342547215,0.018356018905282386,0.0013466395088708512,0.0021948644400558164,0.0765464622014129,0.001952587400221769,0.015679203321274055,0.00101460434232373
"re-weighting fix","gaussian","appropriate",1,16,0.0030001447311765917,0.026494627288611173,0.0027761934291383066,0.018883365673866184,0.0014241941614265494,0.002310889710608298,0.07654612989455906,0.002049816156248753,0.01606687464655479,0.0010661117068303833
"re-weighting fix","gaussian","appropriate",1,17,0.00315676870274546,0.02672389682503107,0.002927257004154026,0.01938884844830893,0.0015003229452844637,0.002427028428962466,0.07654008774840436,0.002148023765639587,0.01644897084680005,0.001117967624544457
"re-weighting fix","gaussian","appropriate",1,18,0.0033094472953914852,0.027074790035904402,0.0030757041274388146,0.019873480191634096,0.0015749482512117886,0.0025427669430431103,0.07653669385928158,0.0022467514755471324,0.016824170831355244,0.0011699348147999492
"re-weighting fix","gaussian","appropriate",1,19,0.003458423226137335,0.027411988441482044,0.0032216197538668073,0.02033899021199919,0.0016481390847766571,0.0026580025369811787,0.07653029248081342,0.0023458952372379786,0.017192559340648894,0.001221962234147636
"re-weighting fix","gaussian","appropriate",1,20,0.0036037189874040363,0.027739149660982888,0.003364915801783742,0.020786379687787942,0.0017198698846847855,0.002772420497907766,0.07652882065942249,0.002445141276155055,0.01755345893859676,0.0012738934664803462
"original {\\sc Dsea}","gaussian","appropriate",2,0,123.4204747398045,1.7184666666666661,0.8139326128875053,0.37038296257221315,1.0255245680550207,2.2675829945676276e6,1.7135024149565938,0.8094460502702028,0.3701705659022729,1.482104963109814
"original {\\sc Dsea}","gaussian","appropriate",2,1,0.0009308346083104532,0.017763420071796026,0.0008891471042557637,0.010548914277911527,0.00045147258939240686,1.1343553981269496,0.028524333393582887,0.0010579502873914247,0.011863923533443874,0.0008169283014566823
"original {\\sc Dsea}","gaussian","appropriate",2,2,0.030451894008024553,0.1683964182015998,0.035296362117573546,0.06715234335005278,0.016903860273197218,0.050703194682352806,0.1721484985606051,0.03561099950247961,0.06740896366811575,0.01700966990797722
"original {\\sc Dsea}","gaussian","appropriate",2,3,0.05504824904399404,0.223839626267011,0.06709294372152474,0.09354842038936868,0.03180466849902963,0.11013762339179142,0.2275975841278984,0.06751092523949712,0.09377217248241539,0.03190275503112347
"original {\\sc Dsea}","gaussian","appropriate",2,4,0.06784218051412594,0.24481493982473918,0.0850819721271711,0.10610151215906645,0.04013711692874357,0.20742675180115727,0.24858166920960698,0.0856551187236506,0.10640047764917045,0.04030613099959435
"original {\\sc Dsea}","gaussian","appropriate",2,5,0.07475094226187169,0.25313705591005087,0.09568896562225379,0.11315389612971119,0.045003837679356826,0.2953545555865798,0.2569556480970745,0.09645003154124648,0.11356007195789712,0.04526703025727825
"original {\\sc Dsea}","gaussian","appropriate",2,6,0.07886069800570959,0.25629862343001997,0.1026206346101056,0.11775471759812056,0.04816323009084322,0.3669117258924454,0.26042337634369644,0.10358153457822868,0.11827604956341131,0.04852593592083026
"original {\\sc Dsea}","gaussian","appropriate",2,7,0.08159629911544075,0.2572503690627364,0.107662835281663,0.12115229105193098,0.0504552837342324,0.4042487181418824,0.26158512268672973,0.10881878208229577,0.1217834097714128,0.050908874395493256
"original {\\sc Dsea}","gaussian","appropriate",2,8,0.0836243387411139,0.2572531597525515,0.11167928935198534,0.1239138192738701,0.05228473047993276,0.4181792352181761,0.26173056759749025,0.11301815152275992,0.12464518353092269,0.05281971952557962
"original {\\sc Dsea}","gaussian","appropriate",2,9,0.08526693566353387,0.25687027640790905,0.11510154562530082,0.12632279583998196,0.05385404914902683,0.4255166094160825,0.26144573535210935,0.11660849615944267,0.12714470496810007,0.0544635087182241
"original {\\sc Dsea}","gaussian","appropriate",2,10,0.08668320139050384,0.25636088119008144,0.11814661188729098,0.12851293272377726,0.0552633588312196,0.43056332440936,0.26100336530742607,0.11980613736696363,0.12941566083269476,0.05594076692328539
"original {\\sc Dsea}","gaussian","appropriate",2,11,0.08795476249592177,0.2558427009564417,0.12092933575314438,0.13055368819430793,0.05656485339757309,0.43451994133228805,0.26053040454593185,0.12272635939315167,0.13152806571100453,0.057303959913676615
"original {\\sc Dsea}","gaussian","appropriate",2,12,0.08912492091076837,0.2553662295615224,0.12351290935458695,0.1324826871367838,0.05778660430974421,0.4378167250879891,0.26008352053738465,0.12543343985328823,0.13352041131849088,0.05858160475785624
"original {\\sc Dsea}","gaussian","appropriate",2,13,0.09021749770761667,0.2549514529149672,0.12593402865317807,0.13432131136825554,0.05894431508592712,0.4406591614974248,0.2596897428398216,0.12796543226124682,0.1354150523701852,0.05978996101839663
"original {\\sc Dsea}","gaussian","appropriate",2,14,0.09124774630541774,0.25460537625016255,0.12821667392613384,0.1360830369676429,0.06004788949424456,0.4431587535955716,0.2593525220298338,0.1303474036748706,0.13722626280172803,0.060939340708777476
"original {\\sc Dsea}","gaussian","appropriate",2,15,0.09222348208009731,0.2543222446120032,0.13037510894675128,0.13777560697675248,0.06110267005188981,0.4453864888965351,0.2590748463445697,0.13259508628897956,0.13896272184236108,0.06203571126695771
"original {\\sc Dsea}","gaussian","appropriate",2,16,0.09315165165034238,0.25409829846102205,0.13242141901080187,0.1394052070803348,0.06211313822719078,0.447391781810277,0.2588490076874986,0.13472152219303213,0.14063127130215128,0.06308391950790196
"original {\\sc Dsea}","gaussian","appropriate",2,17,0.09403665573852002,0.2539259874908483,0.13436434958370788,0.14097601788401967,0.06308223762392139,0.4492131305563212,0.2586723816917291,0.13673656222496527,0.1422367788120309,0.06408737261842629
"original {\\sc Dsea}","gaussian","appropriate",2,18,0.09488309385063039,0.25380330634659753,0.1362124114883277,0.1424919427546556,0.06401292469036185,0.45086769762576173,0.2585382375349966,0.1386494711715861,0.1437836446135702,0.0650493178650344
